Month,Oil,Gas
Jan-07,"60,138","3,566,040"
Feb-07,"60,804","3,589,267"
Mar-07,"61,462","3,659,389"
Apr-07,"60,275","3,676,739"
May-07,"59,123","3,709,214"
Jun-07,"58,136","3,747,506"
Jul-07,"57,004","3,807,680"
Aug-07,"57,701","3,812,129"
Sep-07,"57,994","3,838,142"
Oct-07,"59,569","3,906,206"
Nov-07,"60,931","3,924,293"
Dec-07,"60,573","3,967,821"
Jan-08,"62,833","3,963,575"
Feb-08,"62,845","4,049,564"
Mar-08,"61,523","4,111,779"
Apr-08,"62,623","4,177,733"
May-08,"60,849","4,226,325"
Jun-08,"60,739","4,218,663"
Jul-08,"60,044","4,274,863"
Aug-08,"58,888","4,285,846"
Sep-08,"54,716","4,136,499"
Oct-08,"60,379","4,398,684"
Nov-08,"60,186","4,460,107"
Dec-08,"60,942","4,513,736"
Jan-09,"61,871","4,527,361"
Feb-09,"59,640","4,404,728"
Mar-09,"59,893","4,661,908"
Apr-09,"58,586","4,737,315"
May-09,"56,720","4,812,710"
Jun-09,"55,098","4,891,619"
Jul-09,"53,385","4,964,923"
Aug-09,"53,888","5,164,210"
Sep-09,"54,666","5,316,302"
Oct-09,"52,685","5,481,427"
Nov-09,"54,051","5,702,289"
Dec-09,"54,032","5,651,370"
Jan-10,"52,393","5,786,073"
Feb-10,"53,500","6,079,496"
Mar-10,"55,294","6,494,853"
Apr-10,"53,467","6,586,900"
May-10,"52,752","6,789,456"
Jun-10,"51,038","7,154,070"
Jul-10,"49,942","7,385,671"
Aug-10,"50,178","7,608,398"
Sep-10,"49,775","7,775,895"
Oct-10,"49,975","7,856,177"
Nov-10,"51,316","8,227,569"
Dec-10,"51,555","8,526,585"
Jan-11,"50,641","8,652,410"
Feb-11,"50,637","8,783,524"
Mar-11,"51,321","9,366,108"
Apr-11,"49,882","9,591,125"
May-11,"50,659","9,886,386"
Jun-11,"48,603","9,758,165"
Jul-11,"47,824","9,885,841"
Aug-11,"47,089","10,141,055"
Sep-11,"47,006","10,380,316"
Oct-11,"47,892","10,396,565"
Nov-11,"50,272","10,547,997"
Dec-11,"54,549","10,418,108"
Jan-12,"52,665","10,295,306"
Feb-12,"53,077","9,913,611"
Mar-12,"52,672","9,812,703"
Apr-12,"52,483","9,809,661"
May-12,"51,447","9,866,303"
Jun-12,"50,741","10,032,778"
Jul-12,"50,982","10,000,894"
Aug-12,"51,089","9,965,122"
Sep-12,"52,281","9,772,117"
Oct-12,"53,675","9,436,874"
Nov-12,"54,621","9,181,112"
Dec-12,"53,317","8,884,429"
Jan-13,"56,209","8,646,966"
Feb-13,"57,172","8,549,794"
Mar-13,"56,462","8,278,325"
Apr-13,"56,268","8,155,627"
May-13,"54,446","8,017,486"
Jun-13,"53,555","7,842,463"
Jul-13,"53,175","7,643,142"
Aug-13,"53,345","7,374,017"
Sep-13,"52,193","6,996,605"
Oct-13,"54,740","6,898,703"
Nov-13,"54,337","6,834,845"
Dec-13,"54,602","6,739,891"
Jan-14,"54,119","6,633,412"
Feb-14,"55,395","6,608,612"
Mar-14,"56,167","6,584,828"
Apr-14,"55,863","6,644,502"
May-14,"55,472","6,742,728"
Jun-14,"56,692","6,710,054"
Jul-14,"55,904","6,596,875"
Aug-14,"56,436","6,632,708"
Sep-14,"56,958","6,555,426"
Oct-14,"57,447","6,507,775"
Nov-14,"57,577","6,355,121"
Dec-14,"57,671","6,354,180"
Jan-15,"56,812","6,323,080"
Feb-15,"56,113","6,398,277"
Mar-15,"55,537","6,419,409"
Apr-15,"54,488","6,432,928"
May-15,"52,334","6,327,320"
Jun-15,"52,518","6,205,831"
Jul-15,"51,304","6,207,582"
Aug-15,"50,253","6,148,831"
Sep-15,"50,608","6,090,650"
Oct-15,"49,531","6,013,035"
Nov-15,"50,093","6,086,151"
Dec-15,"50,389","5,968,873"
Jan-16,"50,127","6,062,961"
Feb-16,"48,891","6,023,770"
Mar-16,"46,329","5,738,364"
Apr-16,"46,080","5,993,555"
May-16,"44,841","5,972,179"
Jun-16,"43,688","5,918,555"
Jul-16,"43,062","5,992,122"
Aug-16,"43,379","5,882,781"
Sep-16,"43,646","5,870,177"
Oct-16,"44,442","5,838,857"
Nov-16,"44,540","5,796,447"
Dec-16,"44,220","5,761,895"
Jan-17,"44,475","5,801,943"
Feb-17,"45,370","5,885,691"
Mar-17,"44,173","6,003,045"
Apr-17,"43,650","5,990,385"
May-17,"42,049","6,118,346"
Jun-17,"42,354","6,405,579"
Jul-17,"41,925","6,535,273"
Aug-17,"41,617","6,716,303"
Sep-17,"42,526","7,085,794"
Oct-17,"42,212","7,295,773"
Nov-17,"42,345","7,687,957"
Dec-17,"42,671","7,826,200"
Jan-18,"41,863","7,690,653"
Feb-18,"42,851","8,028,416"
Mar-18,"42,008","8,363,485"
Apr-18,"41,725","8,546,807"
May-18,"42,079","8,952,883"
Jun-18,"40,929","9,173,787"
Jul-18,"40,417","9,324,169"
Aug-18,"40,955","9,507,485"
Sep-18,"40,348","9,676,663"
Oct-18,"40,976","10,060,176"
Nov-18,"41,953","10,067,887"
Dec-18,"41,840","10,093,241"
Jan-19,"43,057","10,388,658"
Feb-19,"42,981","10,775,628"
Mar-19,"42,044","10,827,718"
Apr-19,"40,939","11,061,018"
May-19,"38,419","11,248,503"
Jun-19,"39,789","11,314,225"
Jul-19,"40,442","11,582,141"
Aug-19,"39,789","11,610,169"
Sep-19,"40,317","11,525,402"
Oct-19,"40,146","11,656,216"
Nov-19,"40,684","11,789,272"
Dec-19,"41,579","11,928,035"
Jan-20,"41,872","11,707,119"
Feb-20,"41,255","11,785,388"
Mar-20,"40,319","12,009,392"
Apr-20,"36,101","11,990,682"
May-20,"29,654","12,204,762"
Jun-20,"34,012","11,874,584"
Jul-20,"33,609","11,468,046"
Aug-20,"32,946","11,399,813"
Sep-20,"33,658","11,533,672"
Oct-20,"33,635","11,579,464"
Nov-20,"34,313","12,159,788"
Dec-20,"34,840","12,389,685"
Jan-21,"34,190","12,510,138"
Feb-21,"28,965","11,143,559"
Mar-21,"34,228","12,819,796"
Apr-21,"33,796","12,942,634"
May-21,"32,653","12,928,510"
Jun-21,"32,596","13,186,212"
Jul-21,"32,506","13,625,387"
Aug-21,"32,100","13,504,655"
Sep-21,"33,699","13,872,792"
Oct-21,"35,083","14,062,733"
Nov-21,"36,602","14,516,026"
Dec-21,"36,770","14,681,087"
Jan-22,"35,950","14,509,371"
Feb-22,"36,611","14,590,024"
Mar-22,"38,037","14,481,500"
Apr-22,"37,496","14,985,816"
May-22,"36,001","15,355,596"
Jun-22,"35,225","15,308,892"
Jul-22,"34,842","15,397,173"
Aug-22,"35,764","15,621,544"
Sep-22,"36,623","16,039,054"
Oct-22,"35,887","16,413,410"
Nov-22,"35,219","16,449,398"
Dec-22,"33,514","16,271,585"
Jan-23,"35,644","16,424,212"
Feb-23,"35,762","16,887,547"
Mar-23,"35,257","16,642,304"
Apr-23,"34,590","16,678,925"
May-23,"34,588","17,235,960"
Jun-23,"31,393","16,469,354"
Jul-23,"32,112","16,614,628"
Aug-23,"32,181","16,619,791"
Sep-23,"31,310","16,535,150"
Oct-23,"32,821","16,380,143"
Nov-23,"32,891","16,692,304"
Dec-23,"33,700","15,466,944"
Jan-24,"32,374","15,189,640"
Feb-24,"32,886","16,039,789"
Mar-24,"32,829","15,966,494"
Apr-24,"32,696","15,815,876"
May-24,"32,493","15,605,874"
Jun-24,"32,222","15,338,978"
